path,conversions
"""(organic)""",80
"""(direct)""",40
"""(organic)"" > ""(organic)""",24
"""GAds - PMax""",19
"""GAds - Search - Brand""",13
"""(organic)"" > ""(organic)"" > ""(organic)""",8
"""GAds - PMax""",7
"""Meta - Adv+""",6
"""Meta - Remarketing""",5
"""(organic)""",5
"""GAds - PMax"" > ""GAds - PMax""",4
"""(organic)"" > ""(referral)""",4
"""GAds - Search - Brand""",4
"""(referral)""",4
"""Email""",3
"""(organic)"" > ""(organic)""",2
"""(organic)""",2
"""GAds - PMax""",2
"""GAds - PMax"" > ""(organic)""",2
"""Meta - Remarketing""",2
"""(organic)"" > ""GAds - PMax""",2
"""GAds - Search - Brand"" > ""(referral)"" > ""(referral)"" > ""(referral)""",2
"""GAds - Search - Brand"" > ""GAds - Search - Brand""",2
"""GAds - PMax"" > ""GAds - Search - Brand""",2
"""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)""",2
"""Email""",1
"""GAds - PMax"" > ""GAds - PMax"" > ""GAds - PMax"" > ""GAds - PMax""",1
"""GAds - PMax"" > ""GAds - PMax"" > ""GAds - PMax"" > ""GAds - PMax"" > ""(referral)"" > ""GAds - PMax""",1
"""Meta - Remarketing"" > ""Meta - Remarketing"" > ""Meta - Remarketing"" > ""Meta - Remarketing"" > ""Meta - Remarketing"" > ""Meta - Remarketing""",1
"""(referral)""",1
"""(organic)"" > ""(organic)"" > ""(organic)""",1
"""(organic)""",1
"""GAds - DGen"" > ""GAds - DGen"" > ""GAds - DGen"" > ""GAds - DGen"" > ""GAds - Search - Brand""",1
"""GAds - DGen""",1
"""GAds - DGen""",1
"""Meta - Remarketing"" > ""(organic)""",1
"""GAds - Search - Brand"" > ""GAds - PMax""",1
"""GAds - Search - Brand"" > ""(organic)"" > ""(organic)""",1
"""(organic)"" > ""(organic)"" > ""(organic)""",1
"""Meta - Remarketing"" > ""Meta - Remarketing""",1
"""(organic)""",1
"""(organic)"" > ""GAds - Search - Brand"" > ""GAds - Search - Brand"" > ""GAds - Search - Brand"" > ""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)""",1
"""GAds - PMax""",1
"""(referral)"" > ""Meta - Remarketing""",1
"""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)""",1
"""GAds - Search - Brand"" > ""(organic)""",1
"""(organic)"" > ""Meta - Remarketing"" > ""(organic)""",1
"""Email"" > ""Email"" > ""Email"" > ""Email""",1
"""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)""",1
"""GAds - PMax""",1
"""Meta - Adv+"" > ""GAds - PMax"" > ""GAds - PMax""",1
"""(organic)"" > ""(referral)"" > ""(organic)""",1
"""GAds - PMax"" > ""GAds - PMax""",1
"""Email"" > ""Email""",1
"""GAds - PMax"" > ""GAds - PMax""",1
"""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)"" > ""(organic)""",1
"""Email"" > ""Email"" > ""Email""",1
"""GAds - PMax"" > ""GAds - PMax""",1
"""(organic)"" > ""GAds - DGen"" > ""GAds - DGen"" > ""(organic)"" > ""(organic)"" > ""(organic)""",1
"""(organic)"" > ""(organic)"" > ""(organic)""",1
"""Meta - Upper - Alta incencionalidad"" > ""Meta - Remarketing"" > ""Meta - Remarketing"" > ""(referral)"" > ""Meta - Remarketing"" > ""Meta - Remarketing""",1
"""GAds - PMax"" > ""(organic)"" > ""GAds - PMax""",1
"""Email""",1
"""(organic)"" > ""(organic)"" > ""(organic)"" > ""(referral)""",1
"""GAds - Search - Brand"" > ""(organic)"" > ""(organic)"" > ""(organic)""",1
"""(organic)"" > ""Email"" > ""Email""",1
"""GAds - PMax"" > ""GAds - PMax"" > ""GAds - PMax"" > ""GAds - Search - Brand""",1
"""(organic)"" > ""(organic)""",1
"""(organic)"" > ""(organic)""",1
"""(organic)"" > ""(organic)""",1
"""Meta - Upper - Alta incencionalidad"" > ""Meta - Upper - Alta incencionalidad"" > ""Meta - Upper - Alta incencionalidad"" > ""Meta - Upper - Alta incencionalidad"" > ""Meta - Upper - Alta incencionalidad"" > ""Meta - Adv+""",1
"""Email"" > ""Email"" > ""Email"" > ""Email"" > ""Email"" > ""Email""",1
"""(organic)"" > ""GAds - PMax"" > ""GAds - PMax""",1
"""(organic)"" > ""GAds - PMax""",1
"""GAds - PMax"" > ""(organic)"" > ""(organic)""",1
"""(organic)""",1
